REGISTRO_ANIMAL rgd_pai rgd_mae idade_des classe_mae GCDES contagemGC peso_nasc pd_aj conformacao_des precocidade_des musculosidade_des umbigo_des sexo safra GM_DES faz datanas id_mae
KAPO2959 KAPO484 KAPL5153 147 5 M2018G21B 21 36,00 254,57 4,00 4,00 4,00 2,00 M 2018 G21B FCT 30/11/2018 87
KAPO296 KAPM1884 KAPM2314 249 2 F2014G01A 10 30,00 0,00 0,00 0,00 0,00 0,00 F 2014 G01A FCT 26/9/2014 36
KAPO2960 REM6447 KAPC802 147 4 M2018G21B 21 34,00 255,43 3,00 3,00 3,00 2,00 M 2018 G21B FCT 30/11/2018 62
KAPO2961 REM7177 KAPM3442 147 5 M2018G21B 21 37,00 231,29 3,00 4,00 4,00 2,00 M 2018 G21B FCT 30/11/2018 74
KAPO2962 KAPM1905 KAPL5958 147 5 M2018G21B 21 36,00 256,00 0,00 0,00 0,00 0,00 M 2018 G21B FCT 30/11/2018 74
KAPO2963 KAPM3304 KAPO2 147 4 M2018G21B 21 37,00 257,00 3,00 5,00 5,00 3,00 M 2018 G21B FCT 30/11/2018 72
KAPO2964 AAAP1653 KAPM1631 147 5 M2018G21B 21 35,00 205,00 2,00 1,00 1,00 2,00 M 2018 G21B FCT 30/11/2018 100
KAPO2965 RDM6023 KAPM4630 147 4 M2018G21B 21 38,00 279,43 5,00 4,00 4,00 3,00 M 2018 G21B FCT 30/11/2018 61
KAPO2967 KAPM5869 KAPC491 147 4 M2018G21B 21 36,00 230,29 3,00 3,00 3,00 2,00 M 2018 G21B FCT 30/11/2018 63
KAPO2968 KAPO484 KAPC950 147 4 M2018G21B 21 34,00 259,71 4,00 2,00 2,00 2,00 M 2018 G21B FCT 30/11/2018 61
KAPO2969 RDM6023 KAPO76 147 4 F2018G22B 17 35,00 250,71 3,00 4,00 3,00 3,00 F 2018 G22B FCT 30/11/2018 68
KAPO297 KAPM2543 KAPL5331 234 2 M2014G05 74 26,00 227,92 3,00 5,00 5,00 3,00 M 2014 G05 FCT 30/9/2014 35
KAPO2970 AAAP1653 KAPM2158 147 5 F2018G22B 17 33,00 250,14 4,00 3,00 3,00 2,00 F 2018 G22B FCT 30/11/2018 88
KAPO2971 LBMND1564 KAPM1393 147 5 F2018G22B 17 34,00 251,14 4,00 4,00 4,00 3,00 F 2018 G22B FCT 30/11/2018 102
KAPO2972 KAPM5869 KAPM3870 147 4 F2018G22B 17 36,00 234,57 3,00 4,00 3,00 3,00 F 2018 G22B FCT 30/11/2018 63
KAPO2973 COL21517 KAPC1131 147 4 F2018G22B 17 34,00 214,00 2,00 3,00 2,00 2,00 F 2018 G22B FCT 30/11/2018 60
KAPO2974 KAPM2349 KAPM2269 147 5 F2018G22B 17 33,00 260,14 4,00 3,00 2,00 2,00 F 2018 G22B FCT 30/11/2018 88
KAPO2975 REM7121 KAPM2220 147 5 F2018G22B 17 35,00 237,86 3,00 3,00 3,00 2,00 F 2018 G22B FCT 30/11/2018 88
KAPO2979 KAPM1905 KAPC503 147 4 F2018G22B 17 36,00 190,29 0,00 0,00 0,00 0,00 F 2018 G22B FCT 30/11/2018 63
KAPO2980 KAPO222 KAPM934 147 5 F2018G22B 17 38,00 276,57 5,00 4,00 4,00 2,00 F 2018 G22B FCT 30/11/2018 113
KAPO2981 REM7177 KAPO449 147 3 F2018G22B 17 32,00 204,86 3,00 3,00 2,00 2,00 F 2018 G22B FCT 30/11/2018 40
KAPO2982 KAPM5907 KAPC2375 147 3 F2018G22B 17 35,00 180,71 1,00 1,00 1,00 1,00 F 2018 G22B FCT 30/11/2018 39
KAPO2983 COL21517 KAPO597 147 3 F2018G22B 17 33,00 228,71 3,00 4,00 3,00 3,00 F 2018 G22B FCT 30/11/2018 38
KAPO2984 KAPM1905 KAPC2347 147 3 F2018G22B 17 36,00 218,86 2,00 3,00 4,00 2,00 F 2018 G22B FCT 30/11/2018 39
KAPO2985 KAPM1905 KAPC1431 147 4 F2018G22B 17 34,00 244,00 3,00 5,00 5,00 3,00 F 2018 G22B FCT 30/11/2018 52
KAPO2986 KAPO723 KAPC1812 147 4 F2018G22B 17 35,00 230,71 3,00 4,00 3,00 2,00 F 2018 G22B FCT 30/11/2018 50
KAPO2987 KAPM5872 KAPO989 147 1 F2018G22B 17 31,00 183,86 1,00 3,00 3,00 2,00 F 2018 G22B FCT 30/11/2018 27
KAPO2988 KAPM5907 KAPC2314 147 3 F2018G22B 17 34,00 248,29 3,00 5,00 3,00 2,00 F 2018 G22B FCT 30/11/2018 39
KAPO2990 KAPM5880 KAPO325 147 4 M2018G21B 21 36,00 247,43 4,00 3,00 3,00 2,00 M 2018 G21B FCT 30/11/2018 50
KAPO2991 REM6447 KAPC2348 147 3 M2018G21B 21 32,00 237,71 3,00 4,00 4,00 2,00 M 2018 G21B FCT 30/11/2018 39
KAPO2992 KAPM5872 KAPO736 147 2 M2018G21B 21 33,00 205,86 2,00 3,00 3,00 2,00 M 2018 G21B FCT 30/11/2018 29
KAPO2993 KAPM5857 KAPC2582 147 3 M2018G21B 21 36,00 254,57 3,00 4,00 3,00 3,00 M 2018 G21B FCT 30/11/2018 38
KAPO2994 KAPM5708 KAPC2462 147 3 M2018G21B 21 34,00 252,57 3,00 4,00 4,00 2,00 M 2018 G21B FCT 30/11/2018 39
KAPO2995 KAPO723 KAPC2073 147 4 M2018G21B 21 37,00 245,57 3,00 4,00 5,00 2,00 M 2018 G21B FCT 30/11/2018 50
KAPO2996 LBMND1564 KAPC2390 147 3 M2018G21B 21 35,00 179,29 1,00 2,00 1,00 1,00 M 2018 G21B FCT 30/11/2018 39
KAPO2998 KAPM3304 KAPC2471 147 3 M2018G21B 21 37,00 218,43 2,00 2,00 2,00 2,00 M 2018 G21B FCT 30/11/2018 39
KAPO2999 KAPM3304 KAPC3283 147 1 M2018G21B 21 34,00 161,14 1,00 2,00 2,00 2,00 M 2018 G21B FCT 30/11/2018 26
KAPO3 KAP2820 KAPM1622 669 2 F2013PR+ 72 29,00 0,00 0,00 0,00 0,00 0,00 F 2013 PR+ FCT 2/1/2013 28
KAPO30 KAPM582 KAPL3928 330 2 F2013PR+ 72 30,00 0,00 0,00 0,00 0,00 0,00 F 2013 PR+ FCT 5/2/2013 30
KAPO300 KAPM1649 KAPL4916 337 3 M2014G05 74 36,00 0,00 0,00 0,00 0,00 0,00 M 2014 G05 FCT 30/9/2014 38
KAPO3000 AAAP1653 KAPL5069 144 5 M2018G21C 20 35,00 240,63 3,00 2,00 2,00 2,00 M 2018 G21C FCT 3/12/2018 88
KAPO3001 COLA6879 KAPC2560 144 3 M2018G21C 20 40,00 244,17 3,00 5,00 3,00 2,00 M 2018 G21C FCT 3/12/2018 38
KAPO3002 LBMND1564 KAPC2860 144 3 M2018G21C 20 35,00 249,38 4,00 3,00 3,00 2,00 M 2018 G21C FCT 3/12/2018 37
KAPO3003 KAPO723 KAPC1770 144 4 M2018G21C 20 33,00 238,63 3,00 4,00 4,00 2,00 M 2018 G21C FCT 3/12/2018 50
KAPO3004 KAPM2944 KAPM1472 144 5 F2018G22C 14 37,00 271,79 4,00 5,00 4,00 3,00 F 2018 G22C FCT 3/12/2018 101
KAPO3005 REM6447 KAPL5127 144 5 F2018G22C 14 40,00 216,46 2,00 3,00 2,00 2,00 F 2018 G22C FCT 3/12/2018 87
KAPO3006 KAPM1905 KAPL7234 140 4 F2018G22C 14 36,00 237,00 3,00 5,00 4,00 2,00 F 2018 G22C FCT 7/12/2018 51
KAPO3007 KAPM2944 KAPL5364 140 5 F2018G22C 14 34,00 245,50 3,00 3,00 3,00 2,00 F 2018 G22C FCT 7/12/2018 86
KAPO3008 KAPM1905 KAPO511 140 3 F2018G22C 14 38,00 237,50 3,00 3,00 3,00 2,00 F 2018 G22C FCT 7/12/2018 39
KAPO3009 KAPM3304 KAPL4925 140 5 F2018G22C 14 30,00 229,50 3,00 3,00 3,00 2,00 F 2018 G22C FCT 7/12/2018 89
KAPO301 KAPM1649 KAPL4878 234 3 F2014G06 75 29,00 173,49 1,00 1,00 1,00 2,00 F 2014 G06 FCT 30/9/2014 38
KAPO3010 KAPM3304 KAPL4925 140 5 M2018G21C 20 31,00 218,50 2,00 1,00 1,00 2,00 M 2018 G21C FCT 7/12/2018 89
KAPO3011 KAPM1905 KAPC285 140 4 M2018G21C 20 35,00 255,50 3,00 2,00 2,00 2,00 M 2018 G21C FCT 7/12/2018 64
KAPO3012 KAPM1905 KAPL3783 140 5 M2018G21C 20 42,00 262,50 0,00 0,00 0,00 0,00 M 2018 G21C FCT 7/12/2018 102
KAPO3013 KAPM5962 KAPC1491 140 4 M2018G21C 20 39,00 258,00 4,00 2,00 2,00 2,00 M 2018 G21C FCT 7/12/2018 52
KAPO3014 COL21517 KAPO571 140 3 M2018G21C 20 34,00 217,00 3,00 3,00 3,00 2,00 M 2018 G21C FCT 7/12/2018 39
KAPO3015 KAPM1905 KAPC2288 133 3 M2018G21C 20 39,00 207,95 3,00 3,00 3,00 2,00 M 2018 G21C FCT 14/12/2018 40
KAPO3016 COL21517 KAPM5195 133 4 M2018G21C 20 38,00 224,32 2,00 3,00 2,00 2,00 M 2018 G21C FCT 14/12/2018 50
KAPO3017 KAPM5962 KAPC269 133 4 M2018G21C 20 41,00 251,00 3,00 2,00 2,00 2,00 M 2018 G21C FCT 14/12/2018 64
KAPO3018 RDM6023 KAPL7005 133 4 M2018G21C 20 36,00 211,26 1,00 3,00 3,00 2,00 M 2018 G21C FCT 14/12/2018 61
KAPO3019 LBMND1564 KAPC2695 133 3 M2018G21C 20 35,00 216,58 2,00 2,00 2,00 2,00 M 2018 G21C FCT 14/12/2018 38
KAPO302 KAPM2259 KAPM2429 241 2 M2014G01A 24 34,00 0,00 0,00 0,00 0,00 0,00 M 2014 G01A FCT 4/10/2014 36
KAPO3020 KAPM2349 KAPL4998 133 5 M2018G21C 20 36,00 258,63 3,00 2,00 2,00 2,00 M 2018 G21C FCT 14/12/2018 88
KAPO3021 KAPO723 KAPC2241 133 3 M2018G21C 20 29,00 239,00 3,00 4,00 4,00 2,00 M 2018 G21C FCT 14/12/2018 48
KAPO3023 KAPM1905 KAPO66 133 4 M2018G21C 20 34,00 266,11 3,00 2,00 3,00 2,00 M 2018 G21C FCT 14/12/2018 70
KAPO3024 KAPO484 KAPL7014 133 4 F2018G22C 14 32,00 245,16 3,00 3,00 3,00 2,00 F 2018 G22C FCT 14/12/2018 61
KAPO3025 REM7177 KAPM2086 133 5 F2018G22C 14 40,00 272,11 4,00 3,00 4,00 2,00 F 2018 G22C FCT 14/12/2018 89
KAPO3026 REM7121 KAPM4260 133 4 F2018G22C 14 36,00 238,11 3,00 4,00 4,00 2,00 F 2018 G22C FCT 14/12/2018 63
KAPO3027 COL21517 KAPL5265 133 5 F2018G22C 14 35,00 230,79 3,00 2,00 3,00 3,00 F 2018 G22C FCT 14/12/2018 87
KAPO3028 LBMND1564 KAPO697 133 3 F2018G22C 14 38,00 200,63 2,00 2,00 2,00 2,00 F 2018 G22C FCT 14/12/2018 37
KAPO3029 LBMND8484 KAPC2804 133 3 F2018G22C 14 36,00 239,68 3,00 2,00 2,00 2,00 F 2018 G22C FCT 14/12/2018 38
KAPO303 KAPM2520 KAPM2467 271 2 F2014G01A 10 27,00 0,00 0,00 0,00 0,00 0,00 F 2014 G01A FCT 4/10/2014 36
KAPO3030 KAPM1091 KAPL1027 132 7 F2018G24C 13 36,00 204,64 3,00 2,00 3,00 2,00 F 2018 G24C FCT 14/12/2018 160
KAPO3031 KAPM1905 KAPC3026 128 3 M2018G21C 20 38,00 211,91 2,00 2,00 3,00 2,00 M 2018 G21C FCT 19/12/2018 37
KAPO3032 KAPM5708 KAPC2953 128 3 F2018G22C 14 34,00 224,31 2,00 2,00 2,00 2,00 F 2018 G22C FCT 19/12/2018 37
KAPO3033 KAPM1905 KAPC616 128 4 F2018G22C 14 36,00 239,44 3,00 4,00 3,00 2,00 F 2018 G22C FCT 19/12/2018 63
KAPO3034 KAPM1905 KAPC2635 121 3 M2018G21C 20 34,00 233,59 2,00 3,00 2,00 3,00 M 2018 G21C FCT 26/12/2018 39
KAPO3035 REM6447 KAPC2618 121 3 M2018G21C 20 37,00 253,94 2,00 4,00 3,00 2,00 M 2018 G21C FCT 26/12/2018 39
KAPO305 KAPM2543 KAPL5313 226 2 M2014G05 74 34,00 232,85 4,00 3,00 3,00 3,00 M 2014 G05 FCT 8/10/2014 36
KAPO306 KAPM2259 KAPL5231 226 2 M2014G05 74 37,00 235,85 4,00 4,00 4,00 3,00 M 2014 G05 FCT 8/10/2014 36
KAPO307 AAAP1653 KAPL4998 226 3 M2014G05 74 35,00 230,13 2,00 3,00 3,00 2,00 M 2014 G05 FCT 8/10/2014 37
KAPO308 KAPM2349 KAPL4925 226 3 M2014G05 74 38,00 213,62 3,00 3,00 3,00 3,00 M 2014 G05 FCT 8/10/2014 38
KAPO309 AAAP1653 KAPL3931 226 4 M2014G05 74 37,00 240,50 3,00 3,00 3,00 3,00 M 2014 G05 FCT 8/10/2014 51
KAPO31 KAPM0872 KAPM1437 234 2 M2013PR+ 66 30,00 135,90 0,00 0,00 0,00 0,00 M 2013 PR+ FCT 5/2/2013 30
KAPO310 KAPM1666 KAPL4933 226 3 F2014G06 75 34,00 187,32 2,00 2,00 2,00 3,00 F 2014 G06 FCT 8/10/2014 38
KAPO311 LBMNC8288 KAP3725 226 3 F2014G06 75 33,00 240,21 4,00 4,00 4,00 3,00 F 2014 G06 FCT 8/10/2014 39
KAPO312 AAAP1653 KAPL2027 226 5 M2014G07 81 34,00 192,89 4,00 3,00 4,00 3,00 M 2014 G07 FCT 8/10/2014 94
KAPO313 AAAP1653 KAPL3693 226 4 M2014G07 81 38,00 215,48 4,00 3,00 4,00 3,00 M 2014 G07 FCT 8/10/2014 59
KAPO314 KAPM2520 KAPM2388 237 2 M2014G01A 24 33,00 0,00 0,00 0,00 0,00 0,00 M 2014 G01A FCT 8/10/2014 36
KAPO316 AAAP1653 KAPM2127 325 3 M2014G09 81 36,00 0,00 0,00 0,00 0,00 0,00 M 2014 G09 FCT 12/10/2014 38
KAPO317 BONS130 KAPL5309 222 2 M2014G09 81 37,00 205,38 4,00 3,00 4,00 2,00 M 2014 G09 FCT 12/10/2014 36
KAPO318 KAPM2259 KAPL5160 325 3 M2014G09 81 37,00 0,00 0,00 0,00 0,00 0,00 M 2014 G09 FCT 12/10/2014 37
KAPO319 AAAP1653 KAPL4883 222 3 F2014G06 75 33,00 221,24 4,00 3,00 3,00 2,00 F 2014 G06 FCT 12/10/2014 38
KAPO32 KAPM0983 KAPM1644 330 2 F2013PR+ 72 28,00 0,00 0,00 0,00 0,00 0,00 F 2013 PR+ FCT 5/2/2013 29
KAPO320 BONS130 KAPM1741 222 4 F2014G06 75 34,00 195,76 2,00 3,00 3,00 2,00 F 2014 G06 FCT 12/10/2014 49
KAPO321 641911TUL Y0340 267 5 M2014G07 81 33,00 0,00 0,00 0,00 0,00 0,00 M 2014 G07 FCT 8/10/2014 96
KAPO321A BONS130 KAPL5197 222 3 M2014G09 81 29,00 203,05 2,00 3,00 3,00 2,00 M 2014 G09 FCT 12/10/2014 37
KAPO322 KAPM2259 KAPL5069 222 3 F2014G10 77 27,00 214,30 3,00 5,00 5,00 3,00 F 2014 G10 FCT 12/10/2014 37
KAPO324 KAPM2349 KAPL5034 222 3 F2014G10 77 33,00 159,76 1,00 1,00 1,00 2,00 F 2014 G10 FCT 12/10/2014 38
KAPO325 KAPM2140 KAPL1976 214 5 F2014G08 77 35,00 204,77 4,00 5,00 5,00 3,00 F 2014 G08 FCT 20/10/2014 95
KAPO326 KAPM2140 KAP3445 214 4 F2014G08 77 32,00 218,45 4,00 5,00 4,00 3,00 F 2014 G08 FCT 20/10/2014 51
KAPO327 BONS130 KAPM934 214 4 M2014G07 81 38,00 268,61 5,00 4,00 5,00 3,00 M 2014 G07 FCT 20/10/2014 62
KAPO328 KAPM2543 KAPL5311 214 2 M2014G09 81 37,00 216,58 3,00 4,00 4,00 4,00 M 2014 G09 FCT 20/10/2014 36
KAPO329A BONS130 KAPM2234 214 3 M2014G09 81 39,00 304,93 5,00 4,00 5,00 4,00 M 2014 G09 FCT 20/10/2014 38
KAPO330 AAAP1653 KAPM1457 214 4 M2014G09 81 37,00 247,98 3,00 4,00 4,00 2,00 M 2014 G09 FCT 20/10/2014 51
KAPO331 COLA4210 KAPM2135 214 3 M2014G09 81 36,00 172,40 1,00 1,00 1,00 2,00 M 2014 G09 FCT 20/10/2014 38
KAPO332 COLA6879 KAPL4913 214 3 F2014G10 77 35,00 232,24 5,00 5,00 5,00 2,00 F 2014 G10 FCT 20/10/2014 38
KAPO333 KAPM2140 KAPL4260 214 4 F2014G10 77 34,00 205,73 3,00 4,00 4,00 3,00 F 2014 G10 FCT 20/10/2014 50
KAPO334 KAPM2259 KAPL5227 210 3 F2014G10 77 33,00 180,00 2,00 2,00 2,00 2,00 F 2014 G10 FCT 24/10/2014 37
KAPO335 7700 KAPL3783 210 4 F2014G10 77 33,00 193,00 3,00 2,00 2,00 3,00 F 2014 G10 FCT 24/10/2014 52
KAPO336 KAPM2349 KAPL4917 210 3 F2014G10 77 34,00 237,00 4,00 4,00 4,00 3,00 F 2014 G10 FCT 24/10/2014 38
KAPO337 7700 KAPM1714 210 4 F2014G10 77 31,00 218,00 3,00 3,00 3,00 2,00 F 2014 G10 FCT 24/10/2014 49
KAPO338 AAAP1653 KAPM2242 210 3 M2014G09 81 35,00 256,00 5,00 5,00 5,00 3,00 M 2014 G09 FCT 24/10/2014 38
KAPO339 BONS130 KAPM2380 210 3 M2014G09 81 35,00 218,00 3,00 3,00 3,00 2,00 M 2014 G09 FCT 24/10/2014 37
KAPO34 KAPM0864 KAP3428 232 2 M2013PR+ 66 32,00 132,47 0,00 0,00 0,00 0,00 M 2013 PR+ FCT 7/2/2013 30
KAPO340 BRU6430 BOA9065 210 3 F2014G10 77 31,00 213,00 4,00 3,00 3,00 3,00 F 2014 G10 FCT 24/10/2014 37
KAPO341 AAAP1653 KAPM842 210 4 F2014G08 77 36,00 238,00 5,00 5,00 5,00 2,00 F 2014 G08 FCT 24/10/2014 70
KAPO342 KAPM2140 KAP3409 210 4 F2014G08 77 38,00 211,00 4,00 4,00 3,00 2,00 F 2014 G08 FCT 24/10/2014 51
KAPO344 KAPM2140 KAPM1452 209 4 M2014G09 81 31,00 227,94 3,00 4,00 4,00 3,00 M 2014 G09 FCT 25/10/2014 52
KAPO345 COLA4210 KAPM2586 248 2 F2014G01A 10 34,00 0,00 0,00 0,00 0,00 0,00 F 2014 G01A FCT 27/10/2014 36
KAPO347A BONS130 KAPL4993 207 3 M2014G09 81 35,00 216,59 3,00 3,00 3,00 3,00 M 2014 G09 FCT 27/10/2014 38
KAPO348 KAPM2349 KAPL5136 207 3 F2014G10 77 34,00 155,74 1,00 1,00 1,00 2,00 F 2014 G10 FCT 27/10/2014 37
KAPO349 KAPM2349 KAPM2118 199 3 M2014G09 81 33,00 250,39 4,00 3,00 3,00 3,00 M 2014 G09 FCT 4/11/2014 39
KAPO35 KAPM1091 KAPL4010 232 2 M2013PR+ 66 30,00 150,39 0,00 0,00 0,00 0,00 M 2013 PR+ FCT 7/2/2013 30
KAPO350B KAPM2543 KAPL5396 199 3 M2014G09 81 26,00 250,77 4,00 3,00 4,00 3,00 M 2014 G09 FCT 4/11/2014 37
KAPO351 7700 KAP3393 199 4 M2014G09 81 34,00 265,11 5,00 4,00 5,00 3,00 M 2014 G09 FCT 4/11/2014 52
KAPO353 AAAP1653 KAPL4264 199 4 M2014G09 81 35,00 227,06 2,00 3,00 3,00 2,00 M 2014 G09 FCT 4/11/2014 50
KAPO354 CSCN9126 KAPL3985 199 4 M2014G09 81 32,00 246,22 4,00 3,00 3,00 3,00 M 2014 G09 FCT 4/11/2014 51
KAPO356 KAPM2349 KAPL4879 199 3 F2014G10 77 36,00 187,96 3,00 2,00 2,00 3,00 F 2014 G10 FCT 4/11/2014 39
KAPO357 KAPM2543 KAPL5326 199 3 F2014G10 77 30,00 211,51 2,00 3,00 3,00 2,00 F 2014 G10 FCT 4/11/2014 37
KAPO36 KAPM1142 KAPL4558 480 1 F2013PR+ 72 28,00 98,88 2,00 2,00 1,00 3,00 F 2013 PR+ FCT 7/2/2013 27
KAPO361 KAPM2140 KAPM1846 199 4 F2014G10 77 31,00 198,79 2,00 2,00 2,00 2,00 F 2014 G10 FCT 4/11/2014 49
KAPO362 KAPM2733 KAPM2503 196 3 M2014G09 81 35,00 216,07 2,00 2,00 1,00 2,00 M 2014 G09 FCT 7/11/2014 37
KAPO363 KAPM2543 KAPL5368 196 3 F2014G10 77 37,00 226,64 3,00 3,00 3,00 3,00 F 2014 G10 FCT 7/11/2014 37
KAPO364 KAPM2349 KAPM2136 196 3 F2014G10 77 27,00 219,86 3,00 2,00 2,00 2,00 F 2014 G10 FCT 7/11/2014 39
KAPO365 NJOP10 KAP3775 191 2 M2014G09 81 36,00 229,51 2,00 2,00 2,00 4,00 M 2014 G09 FCT 12/11/2014 35
KAPO366A KAPM1092 KAPL5105 191 3 M2014G09 81 32,00 227,71 2,00 2,00 2,00 3,00 M 2014 G09 FCT 12/11/2014 38
KAPO367 KAPM2349 KAPM2220 191 3 M2014G09 81 37,00 284,38 2,00 3,00 3,00 3,00 M 2014 G09 FCT 12/11/2014 39
KAPO368 KAPM2259 KAPM2348 191 3 F2014G10 77 34,00 237,40 3,00 3,00 3,00 2,00 F 2014 G10 FCT 12/11/2014 38
KAPO369 THA2538 KAP3712 191 3 F2014G10 77 39,00 235,81 2,00 2,00 2,00 1,00 F 2014 G10 FCT 12/11/2014 41
KAPO37 KAPM0864 KAP3402 628 2 F2013PR+ 72 30,00 0,00 0,00 0,00 0,00 0,00 F 2013 PR+ FCT 12/2/2013 31
KAPO370 COLA6879 KAP2488 187 5 M2014G11 88 36,00 184,24 3,00 2,00 2,00 3,00 M 2014 G11 FCT 17/11/2014 87
KAPO371 KAPM2140 KAPM2497 186 3 M2014G09 81 36,00 299,06 5,00 4,00 5,00 3,00 M 2014 G09 FCT 17/11/2014 37
KAPO372 KAPM1884 KAPM2273 186 3 F2014G10 77 33,00 232,84 3,00 3,00 2,00 2,00 F 2014 G10 FCT 17/11/2014 38
KAPO373 KAPM2520 KAPM2515 186 3 F2014G10 77 34,00 205,61 2,00 2,00 2,00 2,00 F 2014 G10 FCT 17/11/2014 37
KAPO374 KAPM2349 KAPM2096 186 3 F2014G10 77 33,00 208,00 1,00 1,00 1,00 2,00 F 2014 G10 FCT 17/11/2014 39
KAPO375 KAPM2733 KAPM2796 186 2 F2014G10 77 30,00 198,23 1,00 1,00 1,00 2,00 F 2014 G10 FCT 17/11/2014 35
KAPO376 THA2538 KAPM2117 186 3 F2014G10 77 29,00 228,84 3,00 3,00 3,00 3,00 F 2014 G10 FCT 17/11/2014 39
KAPO377 KAPM1666 KAPL5052 258 3 M2014G01A 24 31,00 173,44 0,00 0,00 0,00 0,00 M 2014 G01A FCT 17/11/2014 39
KAPO378 KAPM2520 KAPM2402 179 3 F2014G14 33 31,00 197,59 3,00 3,00 3,00 3,00 F 2014 G14 FCT 25/11/2014 38
KAPO379 KAPM2140 KAPL3668 179 4 M2014G11 88 33,00 244,17 3,00 4,00 3,00 3,00 M 2014 G11 FCT 25/11/2014 61
KAPO38 KAPM0983 KAPM1643 628 2 F2013PR+ 72 28,00 0,00 0,00 0,00 0,00 0,00 F 2013 PR+ FCT 12/2/2013 29
KAPO380 AAAP1653 FVT6677 179 4 F2014G14 33 36,00 219,02 2,00 3,00 2,00 2,00 F 2014 G14 FCT 25/11/2014 52
KAPO383 NJOP43 KAPL4084 179 4 M2014G13 43 34,00 214,67 3,00 4,00 4,00 3,00 M 2014 G13 FCT 25/11/2014 52
KAPO384 REM5531 KAPM1288 179 4 M2014G11 88 36,00 268,29 4,00 5,00 5,00 3,00 M 2014 G11 FCT 25/11/2014 61
KAPO384A KAPM1666 KAPL5107 179 3 M2014G11 88 37,00 220,02 2,00 3,00 3,00 3,00 M 2014 G11 FCT 25/11/2014 39
KAPO385 KAPM2543 KAPL5332 179 3 F2014G14 33 29,00 201,46 3,00 4,00 4,00 2,00 F 2014 G14 FCT 25/11/2014 37
KAPO386 KAPM1553 KAPL4445 179 4 F2014G14 33 32,00 213,84 2,00 3,00 2,00 2,00 F 2014 G14 FCT 25/11/2014 50
KAPO387 KAPM2543 KAPL5295 179 3 M2014G13 43 32,00 271,33 5,00 5,00 5,00 2,00 M 2014 G13 FCT 25/11/2014 37
KAPO389 KAPM2520 KAPM2472 250 3 F2014R14 4 31,00 178,00 0,00 0,00 0,00 0,00 F 2014 R14 FCT 25/11/2014 38
KAPO39 KAPM0864 KAP3445 227 2 M2013PR+ 66 32,00 183,72 0,00 0,00 0,00 0,00 M 2013 PR+ FCT 12/2/2013 30
KAPO390 KAPM1666 KAPM2332 250 3 M2014R13 33 35,00 178,64 0,00 0,00 0,00 0,00 M 2014 R13 FCT 25/11/2014 38
KAPO391 KAPM2543 KAPM2522 176 3 F2014G14 33 28,00 192,66 2,00 2,00 2,00 2,00 F 2014 G14 FCT 28/11/2014 37
KAPO393 KAPM1884 KAPL5029 176 3 M2014G13 43 31,00 215,94 2,00 3,00 2,00 3,00 M 2014 G13 FCT 28/11/2014 39
KAPO394 KAPM1884 KAPM2267 176 3 F2014G14 33 31,00 211,17 3,00 3,00 3,00 2,00 F 2014 G14 FCT 28/11/2014 39
KAPO395 NJOP43 KAP3167 176 4 F2014G12 86 32,00 226,49 4,00 3,00 3,00 2,00 F 2014 G12 FCT 28/11/2014 60
KAPO396 NJOP43 KAPL1822 176 5 F2014G12 86 36,00 162,48 1,00 1,00 1,00 2,00 F 2014 G12 FCT 28/11/2014 97
KAPO398 KAPM2450 KAPL3818 175 4 F2014G10 77 29,00 291,80 3,00 4,00 3,00 2,00 F 2014 G10 FCT 28/11/2014 53
KAPO399 KAPM2148 KAPL4875 175 3 F2014G10 77 32,00 244,40 2,00 3,00 3,00 3,00 F 2014 G10 FCT 28/11/2014 40
KAPO4 KAPM1142 KAPL4172 361 2 F2013PR+ 72 30,00 0,00 0,00 0,00 0,00 0,00 F 2013 PR+ FCT 5/1/2013 28
KAPO40 KAPM522 KAP3370 628 2 F2013PR+ 72 32,00 0,00 0,00 0,00 0,00 0,00 F 2013 PR+ FCT 12/2/2013 31
KAPO400 KAPM2450 KAPL3895 175 4 F2014G10 77 34,00 250,00 3,00 3,00 3,00 2,00 F 2014 G10 FCT 28/11/2014 52
KAPO402 KAPM1884 KAPM2377 200 3 F2014G06 75 33,00 235,65 3,00 3,00 3,00 2,00 F 2014 G06 FCT 3/11/2014 37
KAPO403 COLA4210 KAP3173 200 4 M2014G07 81 33,00 244,05 4,00 4,00 4,00 3,00 M 2014 G07 FCT 3/11/2014 58
KAPO404 NJOP43 KAPL3493 169 4 M2014G11 88 33,00 219,39 4,00 3,00 3,00 2,00 M 2014 G11 FCT 5/12/2014 62
KAPO405 KAPM2148 KAP3249 169 4 F2014G14 33 31,00 260,88 5,00 5,00 5,00 3,00 F 2014 G14 FCT 5/12/2014 56
KAPO406 KAPM2259 KAPM2390 169 3 M2014G13 43 34,00 260,15 4,00 4,00 4,00 3,00 M 2014 G13 FCT 5/12/2014 38
KAPO407 KAPM2140 KAPM2444 169 3 F2014G14 33 30,00 206,45 2,00 2,00 2,00 1,00 F 2014 G14 FCT 5/12/2014 38
KAPO408 KAPM2140 KAPM2430 169 3 F2014G14 33 32,00 207,21 2,00 3,00 2,00 2,00 F 2014 G14 FCT 5/12/2014 38
